"Species","Import_lw_1000t","Export_lw_1000t","Production_1000t","apparent_consumption","consumer_destination_indicator","production_origin_indicator","Reexport_Upper","Reexport_Lower","Production_Upper","Production_Lower","Error_Upper","Error_Lower"
"Alaska pollock",8357.7301621,7089.9613676,0,1267.7687945,84.8311829897431,100,7089.9613676,7089.9613676,0,0,0,0
"Atlantic salmon",473.9563876,4.3103336,0,469.646054,0.909436756792417,100,4.3103336,4.3103336,0,0,0,0
"Blue whiting",538.79014,1.261812,0,537.528328,0.234193595302244,100,1.261812,1.261812,0,0,0,0
"Catfish",1027.8018368,127.3713896,8232.548,9132.9784472,1.37544900403044,11.0989525764522,127.3713896,14.1368901276722,0,113.234499472328,0,0
"Cod",2245.5699318,3054.9795573,0,0,100,100,2245.5699318,2245.5699318,0,0,809.4096255,809.4096255
"Crab",832.8588196,1270.9270926,14252.061,13813.992727,8.4251498039033,5.52113521026381,832.8588196,70.1696032063208,438.068273,1200.75748939368,0,0
"Cuttlefish and squid",3293.8086434,4622.4086533,7869.834,6541.2339901,41.4059174138182,29.504783954611,3293.8086434,1363.83168665541,1328.6000099,3258.57696664459,0,0
"Flatfish",1297.039773,1753.9951809,1011.733,554.7775921,75.9708881450847,56.1787538456908,1297.039773,985.37263514309,456.9554079,768.62254575691,0,0
"Haddock",500.055646,675.1451312,0,0,100,100,500.055646,500.055646,0,0,175.0894852,175.0894852
"Hairtails",727.3190769,107.0913598,8294.069,8914.2967171,1.18708295095094,8.06216372358884,107.0913598,8.63388076089359,0,98.4574790391064,0,0
"Herring",1289.5890183,600.8676132,115.646,804.3674051,42.7592257078042,91.7703445691309,600.8676132,551.418279037953,0,49.4493341620472,0,0
"Mackerel",874.8145866,2812.1415752,3728.004,1790.6770114,61.0960767253977,19.0060627013807,874.8145866,534.477391034106,1937.3269886,2277.66418416589,0,0
"Pacific salmon",1670.4437568,1351.9976114,0,318.4461454,80.9364341598646,100,1351.9976114,1351.9976114,0,0,0,0
"Shrimps and prawns",1744.7178072,2427.2096436,31456.363,30773.8711636,7.31063442691791,5.2550030444239,1744.7178072,127.549940665731,682.4918364,2299.65970293427,0,0
"Tuna",817.3129596,2531.5454922,813.146,0,100,50.1277848662018,817.3129596,817.3129596,813.146,813.146,901.0865326,901.0865326
