"Species","Production_dwf"
"African sicklefish",0.736
"Alfosinos",0
"Anchovy",1.751
"Angler",0.027
"Antarctic krill",320.16074
"Antarctic silverfish",0.00084
"Atlantic sailfish",0.046
"Barracudas",0.151
"Carangids",0.352
"Catfish",2.196
"Crab",0.459
"Croakers",0.932
"Cuttlefish and squid",3789.064
"Flagfin mojarra",0.781
"Flatfish",4.541
"Goatfish",1.467
"Grunts/sweetlips",1.623
"Hairtails",4.393
"Hake",0.181
"Icefish",0.00903
"Jack and horse mackerel",190.708
"Long-fin herring",1.734
"Mackerel",14.666
"Marbled rockcod",0.00052
"Marlin",32.762
"Octopus",4.024
"Orange Roughy",0
"Oreo Dory",0
"Painted notie",0.0024
"Pelagic armourhead",0
"Sailfish",0.081
"Sardines",24.683
"Seabream",3.158
"Sharks",17.401
"Shrimps and prawns",0.282
"Snappers",0
"Swordfish",38.532
"Threadfins",4.888
"Tuna",811.867
"Tuna-like fishes",0
"Unspecified Cardinal fish",0
"Unspecified crustaceans and mollusc",1.15728
"Unspecified fish",20.421
"Unspecified manta and rays",0.169
