"Species","Import_quantity","Import_live_weight","Export_quantity","Export_live_weight","Production","select","Production_dwf","Production_domestic"
"Alaska pollock",5148.24975,8357.7301621,2521.86478,7089.9613676,0,1,0,0
"Anchovy",236.96893,257.0286616,215.66494,236.6118772,6378.487,1,1.751,6376.736
"Atlantic salmon",413.92934,473.9563876,3.55111,4.3103336,0,0,0,0
"Blue whiting",449.00845,538.79014,1.05151,1.261812,0,0,0,0
"Bream",0,0,0,0,8932.509,1,0,8932.509
"Carp",5.18637,5.18637,370.92488,370.92488,143140.382,1,0,143140.382
"Catfish",490.25547,1027.8018368,72.50263,127.3713896,8232.548,1,2.196,8230.352
"Clams, cockles, and arkshells",66.57652,144.1355896,1194.77616,1491.5613036,40432.855,1,0,40432.855
"Cod",1490.87175,2245.5699318,1101.13479,3054.9795573,0,0,0,0
"Crab",525.56875,832.8588196,598.36758,1270.9270926,14252.061,1,0.459,14251.602
"Crayfish",5.47953,13.038122,172.9749,414.5241122,7993.84,1,0,7993.84
"Croakers",10.33149,14.9461113,303.39892,422.6313592,8591.848,1,0.932,8590.916
"Cuttlefish and squid",2464.69233,3293.8086434,3448.1702,4622.4086533,7869.834,1,3789.064,4080.77
"Eels",14.95493,15.613362,340.31048,515.7221344,7187.505,1,0,7187.505
"Flatfish",1106.98756,1297.039773,716.82211,1753.9951809,1011.733,1,4.541,1007.192
"Haddock",356.59856,500.055646,220.92752,675.1451312,0,0,0,0
"Hairtails",518.11161,727.3190769,74.09518,107.0913598,8294.069,1,4.393,8289.676
"Herring",1288.65063,1289.5890183,589.35606,600.8676132,115.646,1,0,115.646
"Mackerel",874.26274,874.8145866,2372.96961,2812.1415752,3728.004,1,14.666,3713.338
"Mussels",31.51821,123.0912419,67.47481,203.1393313,7216.266,1,0,7216.266
"Nile perch and snakeheads ",0,0,0,0,3696.796,1,0,3696.796
"Octopus",57.79577,74.0139741,564.858,732.6231993,945.598,1,4.024,941.574
"Oysters",20.49395,20.5319516,73.60006,95.9171044,36266.879,1,0,36266.879
"Pacific salmon",1281.45934,1670.4437568,765.45132,1351.9976114,0,0,0,0
"Sardines",141.77323,171.4033183,836.04523,1179.4095542,1058.659,1,24.683,1033.976
"Scad",0,0,0,0,4394.717,1,0,4394.717
"Scallops",349.73251,2072.9893098,257.67053,1583.8564273,13789.746,1,0,13789.746
"Seerfishes",0,0,0,0,3208.964,1,0,3208.964
"Shrimps and prawns",1512.98399,1744.7178072,1771.09553,2427.2096436,31456.363,1,0.282,31456.081
"Tilapia",1.16415,2.471075,4289.64505,8441.159543,12488.055,1,0,12488.055
"Tuna",696.33349,817.3129596,1510.43577,2531.5454922,813.146,1,811.867,1.279
